time,cpu,mem,diskRand,diskSeq
1574269201,861.02,1804.75,34.34,35.03
1574271001,865.37,1811.60,34.30,37.63
1574272801,867.12,1822.02,30.55,28.17
1574274601,862.81,1814.76,32.96,35.37
1574276401,867.60,1840.91,33.48,32.96
1574278201,867.30,1848.68,33.78,32.48
1574280001,863.16,1805.65,36.46,37.75
1574281801,878.01,1835.30,35.18,37.74
1574283601,863.35,1802.42,34.93,36.89
1574285401,864.16,1809.57,36.33,37.03
1574287201,865.85,1804.70,33.65,33.27
1574289001,869.82,1829.58,37.57,38.47
1574290801,869.39,1816.33,34.92,38.45
1574292601,872.29,1853.50,36.16,38.14
1574294401,864.88,1850.53,29.75,27.30
1574296201,879.31,1839.31,31.18,37.03
1574298001,882.30,1873.80,36.08,36.15
1574299801,864.39,1828.25,30.56,33.30
1574301601,869.50,1842.35,33.84,35.77
1574303401,878.26,1841.28,28.57,34.72
1574305201,878.74,1847.94,33.63,35.44
1574307001,882.15,1849.59,37.20,36.06
1574308801,871.39,1829.41,35.62,37.79
1574310601,867.02,1829.01,35.78,37.83
1574312401,865.48,1817.06,1.56,27.16
1574314201,863.53,1810.63,1.56,11.07
1574316001,863.38,1803.52,1.56,11.11
1574317801,858.25,1803.31,1.56,8.69
1574319601,857.91,1793.92,1.56,4.30
1574321401,861.02,1799.42,1.56,10.96
1574323201,855.38,1800.17,1.56,11.16
1574325001,860.90,1797.37,1.56,11.01
1574326801,847.26,1796.25,1.56,11.05
1574328601,857.67,1790.30,1.56,11.12
1574330401,848.06,1791.40,1.56,11.12
1574332201,859.11,1791.88,1.56,11.11
1574334001,853.23,1793.60,1.56,11.04
1574335801,859.88,1793.45,1.55,11.02
1574337601,842.62,1803.21,1.56,11.18
1574339401,858.50,1797.90,1.56,10.60
1574341201,858.45,1796.41,1.55,11.08
1574343001,862.82,1800.69,1.56,11.10
1574344801,856.77,1805.70,1.56,11.04
1574346601,860.84,1800.22,1.55,11.02
1574348401,858.32,1801.79,1.55,11.09
1574350201,864.07,1804.87,1.56,11.11
1574352001,846.81,1796.85,1.55,11.08
1574353801,858.69,1805.13,1.56,11.01
1574355601,845.72,1790.60,1.55,11.07
1574357401,860.30,1799.99,1.56,11.02
1574359201,836.43,1790.08,1.56,11.13
1574361001,857.94,1800.10,1.56,11.02
1574362802,839.19,1802.13,1.56,11.12
1574364601,859.95,1795.62,1.55,11.06
1574366401,841.87,1802.95,1.56,11.03
1574368201,856.76,1794.06,1.55,11.05
1574370001,845.02,1787.28,1.56,11.01
1574371801,855.73,1790.94,1.55,11.08
1574373601,855.33,1787.58,1.56,11.09
1574375401,860.40,1795.48,1.56,11.07
1574377201,851.10,1800.71,1.56,11.06
1574379001,863.52,1801.23,1.56,11.03
1574380801,844.76,1796.92,1.56,11.07
1574382601,857.68,1794.37,1.56,11.05
1574384401,852.81,1802.43,1.56,11.05
1574386201,859.97,1809.35,1.56,11.07
1574388001,855.93,1802.05,1.56,11.05
1574389801,861.42,1808.77,1.56,11.03
1574391601,847.89,1803.14,1.56,11.09
1574393401,860.07,1803.03,1.56,11.04
1574395201,842.56,1807.15,1.55,10.64
1574397001,853.74,1784.97,1.55,11.08
1574398801,853.55,1808.82,1.56,10.98
1574400601,861.20,1808.82,1.56,11.11
1574402401,849.78,1808.05,1.56,11.09
1574404201,859.37,1797.95,1.53,8.11
1574406001,852.38,1799.98,1.56,10.74
1574407801,857.17,1794.07,1.56,11.07
1574409601,850.62,1797.89,1.56,11.08
1574411401,856.16,1807.10,1.55,11.07
1574413201,842.35,1800.90,1.55,11.14
1574415001,857.93,1793.10,1.56,11.07
1574416801,861.49,1801.40,1.56,11.05
1574418601,856.48,1799.04,1.56,11.05
1574420402,858.09,1800.89,1.56,10.89
1574422201,852.60,1788.52,1.56,11.00
1574424002,840.88,1795.06,1.56,11.10
1574425801,856.48,1795.11,1.55,11.03
1574427601,855.98,1791.52,1.55,11.03
1574429401,858.14,1796.04,1.56,11.04
1574431201,844.63,1794.36,1.56,11.11
1574433001,856.41,1791.64,1.56,11.03
1574434801,845.04,1798.42,1.56,10.97
1574436601,854.77,1791.78,1.56,11.12
1574438401,850.72,1792.78,1.56,11.02
1574440201,860.78,1779.27,1.56,11.00
1574442001,840.73,1798.04,1.56,11.05
1574443801,859.09,1794.52,1.56,10.92
1574445601,843.31,1802.10,1.56,11.08
1574447401,861.57,1795.36,1.56,11.05
1574449201,842.70,1805.34,1.54,11.04
1574451001,855.04,1790.24,1.54,10.71
1574452801,840.61,1792.74,1.55,10.71
1574454601,855.81,1790.82,1.55,10.65
1574456401,850.12,1792.79,1.54,10.68
1574458201,858.50,1805.66,1.53,10.65
1574460001,853.02,1801.66,1.54,10.68
1574461801,863.87,1806.66,1.54,10.64
1574463601,848.06,1808.49,1.54,10.69
1574465401,863.14,1801.27,1.54,10.62
1574467201,850.82,1807.07,1.54,10.73
1574469001,856.73,1799.42,1.53,10.71
1574470801,853.08,1801.99,1.54,10.68
1574472601,858.98,1797.96,1.54,10.61
