time,cpu,mem,diskRand,diskSeq
1574269201,947.16,8125.52,2.39,106.84
1574271001,948.23,8111.17,2.40,111.27
1574272801,948.18,8124.65,2.40,102.27
1574274601,948.69,8127.31,2.39,112.48
1574276401,947.02,8117.59,2.39,113.97
1574278201,949.10,8113.53,2.40,115.97
1574280001,949.06,8125.04,2.39,97.76
1574281801,948.33,8129.93,2.40,117.97
1574283601,949.07,8124.27,2.34,117.18
1574285401,948.52,8129.61,2.39,103.29
1574287201,951.61,8129.69,2.40,118.39
1574289001,948.34,8137.13,2.39,119.38
1574290801,950.69,8135.42,2.39,111.01
1574292601,949.32,8129.09,2.39,103.01
1574294401,948.27,8125.50,2.39,117.77
1574296201,948.84,8120.02,2.39,117.73
1574298001,950.16,8120.94,2.39,116.46
1574299801,949.42,8134.82,2.38,117.34
1574301601,948.05,8129.22,2.39,113.39
1574303401,949.34,8117.90,2.39,104.07
1574305201,948.67,8128.31,2.40,102.27
1574307001,949.13,8134.45,2.39,119.73
1574308801,948.25,8128.79,2.39,116.93
1574310601,948.98,8128.56,2.40,117.47
1574312401,948.63,8129.61,2.40,114.84
1574314201,947.38,8124.46,2.39,111.07
1574316001,948.48,8114.81,2.40,107.15
1574317801,949.40,8118.53,2.40,100.16
1574319601,948.08,8133.77,2.40,117.30
1574321401,948.15,8130.24,2.40,115.11
1574323201,948.79,8124.33,2.39,116.06
1574325001,948.98,8126.29,2.40,103.14
1574326801,948.22,8122.87,2.39,116.59
1574328601,948.42,8111.98,2.40,116.21
1574330401,947.28,8123.48,2.40,107.39
1574332201,948.35,8103.72,2.40,112.36
1574334001,947.43,8134.75,2.40,105.45
1574335801,946.66,8112.20,2.39,102.40
1574337601,948.54,8124.41,2.40,110.74
1574339401,946.09,8112.34,2.40,114.85
1574341201,947.26,8111.76,2.39,114.86
1574343001,949.45,8105.75,2.39,108.62
1574344801,947.80,8118.20,2.40,112.13
1574346601,946.66,8091.10,2.39,104.58
1574348401,946.70,8114.65,2.39,106.19
1574350201,948.21,8112.89,2.40,109.28
1574352001,946.34,8072.88,2.39,106.69
1574353801,947.84,8120.01,2.39,109.29
1574355601,949.80,8125.99,2.39,108.87
1574357401,947.24,8120.54,2.39,111.48
1574359201,947.97,8127.11,2.40,112.52
1574361001,949.48,8119.72,2.39,107.86
1574362801,947.46,8129.65,2.39,116.94
1574364601,947.78,8106.75,2.40,119.33
1574366401,948.37,8119.97,2.40,118.41
1574368201,948.46,8124.08,2.39,108.36
1574370001,948.14,8114.56,2.40,112.21
1574371801,949.02,8111.47,2.39,118.74
1574373601,947.84,8120.31,2.39,110.58
1574375401,948.68,8128.82,2.40,118.79
1574377201,948.46,8114.16,2.39,119.24
1574379001,949.66,8128.79,2.39,119.30
1574380801,948.65,8056.58,2.39,105.46
1574382601,948.35,8104.02,2.39,117.36
1574384401,949.33,8115.01,2.39,119.47
1574386201,948.39,8129.61,2.39,107.27
1574388001,948.17,8135.31,2.40,118.08
1574389801,949.34,8124.68,2.40,119.34
1574391601,950.68,8128.69,2.39,119.01
1574393401,949.39,8130.11,2.39,109.05
1574395201,950.35,8120.48,2.39,112.72
1574397001,949.38,8130.19,2.39,108.72
1574398801,948.72,8126.65,2.40,107.97
1574400601,948.08,8120.93,2.40,117.47
1574402401,948.80,8124.09,2.40,117.15
1574404201,948.15,8138.08,2.40,104.70
1574406001,948.58,8128.02,2.39,113.03
1574407801,948.90,8116.39,2.40,117.21
1574409601,948.60,8131.20,2.39,108.09
1574411401,948.93,8124.07,2.39,116.39
1574413201,947.98,8130.07,2.39,118.40
1574415001,948.71,8121.93,2.40,119.43
1574416801,948.45,8122.08,2.39,100.78
1574418601,948.83,8129.93,2.39,116.89
1574420401,949.11,8120.47,2.40,119.41
1574422201,948.06,8124.88,2.39,119.84
1574424001,948.47,8117.04,2.40,117.09
1574425801,950.03,8128.78,2.40,118.38
1574427601,948.68,8111.45,2.40,112.64
1574429401,948.85,8135.88,2.39,102.80
1574431201,948.75,8126.51,2.39,117.42
1574433001,946.89,8124.52,2.40,117.98
1574434801,949.04,8121.34,2.40,114.70
1574436601,948.96,8129.80,2.39,110.50
1574438401,948.96,8129.65,2.39,114.10
1574440201,949.02,8129.82,2.39,111.88
1574442001,948.78,8125.12,2.40,109.49
1574443801,949.09,8124.14,2.40,117.72
1574445601,946.82,8120.95,2.39,117.80
1574447401,948.68,8127.55,2.39,114.15
1574449201,948.55,8126.30,2.40,101.30
1574451001,950.19,8127.67,2.40,112.94
1574452801,948.99,8120.16,2.40,118.96
1574454601,947.75,8126.76,2.39,113.33
1574456401,948.46,8127.80,2.40,119.73
1574458201,947.89,8121.73,2.39,117.05
1574460001,948.41,8121.95,2.40,116.05
1574461801,949.09,8125.83,2.39,96.55
1574463601,948.91,8129.02,2.39,117.77
1574465401,948.69,8135.62,2.40,114.73
1574467201,947.84,8127.57,2.39,115.78
1574469001,949.26,8121.76,2.40,119.45
1574470801,947.69,8129.77,2.40,119.46
1574472601,948.89,8130.52,2.39,112.56
